file,start_line,end_line,rule_id,severity,description,link
/home/kali/omer/dtci-mie-aspera-prod-east-master/sg.tf,106,106,AWS009,WARNING,Resource 'aws_security_group.aspera_sg' defines a fully open egress security group.,See https://tfsec.dev/docs/aws/AWS009/ for more information.
/home/kali/omer/dtci-mie-aspera-prod-east-master/sg.tf,158,158,AWS009,WARNING,Resource 'aws_security_group.bastion' defines a fully open egress security group.,See https://tfsec.dev/docs/aws/AWS009/ for more information.
/home/kali/omer/dtci-mie-aspera-prod-east-master/sg.tf,189,189,AWS009,WARNING,Resource 'aws_security_group.aspera_alb' defines a fully open egress security group.,See https://tfsec.dev/docs/aws/AWS009/ for more information.
/home/kali/omer/dtci-mie-aspera-prod-east-master/sg.tf,216,216,AWS008,WARNING,Resource 'aws_security_group.proxy' defines a fully open ingress security group.,See https://tfsec.dev/docs/aws/AWS008/ for more information.
/home/kali/omer/dtci-mie-aspera-prod-east-master/sg.tf,224,224,AWS008,WARNING,Resource 'aws_security_group.proxy' defines a fully open ingress security group.,See https://tfsec.dev/docs/aws/AWS008/ for more information.
/home/kali/omer/dtci-mie-aspera-prod-east-master/sg.tf,232,232,AWS008,WARNING,Resource 'aws_security_group.proxy' defines a fully open ingress security group.,See https://tfsec.dev/docs/aws/AWS008/ for more information.
/home/kali/omer/dtci-mie-aspera-prod-east-master/sg.tf,240,240,AWS008,WARNING,Resource 'aws_security_group.proxy' defines a fully open ingress security group.,See https://tfsec.dev/docs/aws/AWS008/ for more information.
/home/kali/omer/dtci-mie-aspera-prod-east-master/sg.tf,252,252,AWS009,WARNING,Resource 'aws_security_group.proxy' defines a fully open egress security group.,See https://tfsec.dev/docs/aws/AWS009/ for more information.
/home/kali/omer/dtci-mie-aspera-prod-east-master/alb.tf,3,3,AWS005,WARNING,Resource 'aws_lb.aspera' is exposed publicly.,See https://tfsec.dev/docs/aws/AWS005/ for more information.
